project_type,structure_type,work_item,unit,coefficient,source_notes
factory,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
logistics,frame,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
logistics,frame,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
logistics,frame,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
logistics,frame,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
logistics,frame,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
logistics,frame,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
logistics,frame,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
logistics,frame,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
logistics,frame,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
logistics,frame,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
logistics,frame_shear,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
logistics,frame_shear,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
logistics,frame_shear,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
logistics,frame_shear,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
logistics,frame_shear,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
logistics,frame_shear,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
logistics,frame_shear,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
logistics,frame_shear,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
logistics,frame_shear,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
logistics,frame_shear,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
logistics,frame_shear,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
logistics,frame_shear,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
logistics,steel,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
logistics,steel,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
logistics,steel,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
logistics,steel,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
logistics,steel,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
logistics,steel,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
logistics,steel,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
logistics,steel,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
logistics,steel,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
logistics,steel,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
logistics,steel,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
logistics,steel,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
logistics,prefab,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
logistics,prefab,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
logistics,prefab,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
logistics,prefab,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
logistics,prefab,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
logistics,prefab,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
logistics,prefab,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
logistics,prefab,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
logistics,prefab,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
logistics,prefab,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
logistics,prefab,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
logistics,prefab,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
municipal,brick_concrete,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
municipal,brick_concrete,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
municipal,brick_concrete,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
municipal,brick_concrete,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
municipal,brick_concrete,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
municipal,brick_concrete,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
municipal,brick_concrete,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
municipal,brick_concrete,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
municipal,brick_concrete,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
municipal,brick_concrete,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
municipal,brick_concrete,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
municipal,brick_concrete,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
municipal,frame,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
municipal,frame,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
municipal,frame,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
municipal,frame,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
municipal,frame,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
municipal,frame,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
municipal,frame,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
municipal,frame,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
municipal,frame,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
municipal,frame,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
municipal,frame,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
municipal,frame,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
municipal,frame_shear,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
municipal,frame_shear,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
municipal,frame_shear,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
municipal,frame_shear,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
municipal,frame_shear,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
municipal,frame_shear,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
municipal,frame_shear,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
municipal,frame_shear,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
municipal,frame_shear,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
municipal,frame_shear,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
municipal,frame_shear,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
municipal,frame_shear,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
municipal,steel,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
municipal,steel,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
municipal,steel,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
municipal,steel,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
municipal,steel,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
municipal,steel,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
municipal,steel,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
municipal,steel,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
municipal,steel,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
municipal,steel,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
municipal,steel,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
municipal,steel,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
municipal,prefab,steel,t/m2,0.16,synthetic industry experience indicator; no commercial dataset copied
municipal,prefab,concrete_foundation,m3/m2,0.40,synthetic industry experience indicator; no commercial dataset copied
municipal,prefab,masonry,m3/m2,0.80,synthetic industry experience indicator; no commercial dataset copied
municipal,prefab,roof_panel,m2/m2,1.05,synthetic industry experience indicator; no commercial dataset copied
municipal,prefab,waterproof,m2/m2,1.50,synthetic industry experience indicator; no commercial dataset copied
municipal,prefab,floor_hardening,m2/m2,0.95,synthetic industry experience indicator; no commercial dataset copied
municipal,prefab,doors_windows,m2/m2,0.18,synthetic industry experience indicator; no commercial dataset copied
municipal,prefab,fire_mep,m2/m2,1.00,synthetic industry experience indicator; no commercial dataset copied
municipal,prefab,temporary_facility,m2/m2,0.08,synthetic industry experience indicator; no commercial dataset copied
municipal,prefab,earthwork,m3/m2,0.65,synthetic industry experience indicator; no commercial dataset copied
municipal,prefab,plaster,m2/m2,1.80,synthetic industry experience indicator; no commercial dataset copied
municipal,prefab,scaffold,m2/m2,1.20,synthetic industry experience indicator; no commercial dataset copied
